Antonio V. Alvillar
Edgardo C. Gutierrez

Returned to ready queue: PID: 0x282475249, State: running, Priority: 0xF, PC: 0x0
 -> PID: 0x881140534, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: ready, Priority: 0xF, PC: 0x3394
 -> PID: 0x348318738, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784559590, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: ready, Priority: 0xF, PC: 0x3159
 -> PID: 0x977764947, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x6230
 -> PID: 0x2000755539, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x462242385, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x11632
 -> PID: 0x1848682420, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1086531968, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x107554536, State: ready, Priority: 0xF, PC: 0x3915
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x7203
 -> PID: 0x1358796011, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1771024152, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1507977295, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x9825
 -> PID: 0x621301815, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1478446501, State: ready, Priority: 0xF, PC: 0x3033
 -> PID: 0x889119397, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1882410547, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: ready, Priority: 0xF, PC: 0x3210
 -> PID: 0x1536830211, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1517273377, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x7029
 -> PID: 0x1908194298, State: ready, Priority: 0xF, PC: 0x3868
 -> PID: 0x657821123, State: ready, Priority: 0xF, PC: 0x3776
 -> PID: 0x1049997439, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1464689331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x7183
 -> PID: 0x1911300560, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x298918984, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1816731566, State: ready, Priority: 0xF, PC: 0x3789
 -> PID: 0x957828015, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1105222769, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x13590
 -> PID: 0x892053144, State: ready, Priority: 0xF, PC: 0x3506

Returned to ready queue: PID: 0x1606946231, State: running, Priority: 0xF, PC: 0x0

Head: PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x6847
 -> PID: 0x1617819336, State: ready, Priority: 0xF, PC: 0x3298
 -> PID: 0x456880399, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x280090412, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x7302
 -> PID: 0x889688008, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1899894091, State: ready, Priority: 0xF, PC: 0x3968
 -> PID: 0x515204530, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: ready, Priority: 0xF, PC: 0x3962
 -> PID: 0x1400285365, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1463179852, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x10703
 -> PID: 0x590357944, State: ready, Priority: 0xF, PC: 0x3712
 -> PID: 0x1815859901, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: ready, Priority: 0xF, PC: 0x3831
 -> PID: 0x318153057, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: ready, Priority: 0xF, PC: 0x3790
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x14466
 -> PID: 0x1083454666, State: ready, Priority: 0xF, PC: 0x3006
 -> PID: 0x2063936098, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: ready, Priority: 0xF, PC: 0x3319
 -> PID: 0x1351345223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1398556760, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x6979
 -> PID: 0x1023129506, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x436476770, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1936329094, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x194847408, State: ready, Priority: 0xF, PC: 0x3844
 -> PID: 0x881140534, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: ready, Priority: 0xF, PC: 0x3394
 -> PID: 0x348318738, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784559590, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: ready, Priority: 0xF, PC: 0x3159
 -> PID: 0x977764947, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x6230
 -> PID: 0x2000755539, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x462242385, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x11632
 -> PID: 0x1848682420, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1086531968, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x107554536, State: ready, Priority: 0xF, PC: 0x3915
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x7203
 -> PID: 0x1358796011, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1771024152, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1507977295, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x9825
 -> PID: 0x621301815, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1478446501, State: ready, Priority: 0xF, PC: 0x3033
 -> PID: 0x889119397, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1882410547, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: ready, Priority: 0xF, PC: 0x3210
 -> PID: 0x1536830211, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1517273377, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x7029
 -> PID: 0x1908194298, State: ready, Priority: 0xF, PC: 0x3868
 -> PID: 0x657821123, State: ready, Priority: 0xF, PC: 0x3776
 -> PID: 0x1049997439, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1464689331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x7183
 -> PID: 0x1911300560, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x298918984, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1816731566, State: ready, Priority: 0xF, PC: 0x3789
 -> PID: 0x957828015, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1105222769, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x13590
 -> PID: 0x892053144, State: ready, Priority: 0xF, PC: 0x3506
 -> PID: 0x454233502, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x7005
 -> PID: 0x1323602331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1887638, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1561939997, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x382955828, State: ready, Priority: 0xF, PC: 0x3849
 -> PID: 0x1461495731, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: ready, Priority: 0xF, PC: 0x3014
 -> PID: 0x1779636775, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x175530180, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351995223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x458588260, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x6942
 -> PID: 0x2034837525, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1070477904, State: ready, Priority: 0xF, PC: 0x3256

Returned to ready queue: PID: 0x1137522503, State: running, Priority: 0xF, PC: 0x7302

Head: PID: 0x889688008, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1899894091, State: ready, Priority: 0xF, PC: 0x3968
 -> PID: 0x515204530, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: ready, Priority: 0xF, PC: 0x3962
 -> PID: 0x1400285365, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1463179852, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x10703
 -> PID: 0x590357944, State: ready, Priority: 0xF, PC: 0x3712
 -> PID: 0x1815859901, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: ready, Priority: 0xF, PC: 0x3831
 -> PID: 0x318153057, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: ready, Priority: 0xF, PC: 0x3790
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x14466
 -> PID: 0x1083454666, State: ready, Priority: 0xF, PC: 0x3006
 -> PID: 0x2063936098, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: ready, Priority: 0xF, PC: 0x3319
 -> PID: 0x1351345223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1398556760, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x6979
 -> PID: 0x1023129506, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x436476770, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1936329094, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x194847408, State: ready, Priority: 0xF, PC: 0x3844
 -> PID: 0x881140534, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: ready, Priority: 0xF, PC: 0x3394
 -> PID: 0x348318738, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784559590, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: ready, Priority: 0xF, PC: 0x3159
 -> PID: 0x977764947, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x6230
 -> PID: 0x2000755539, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x462242385, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x11632
 -> PID: 0x1848682420, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1086531968, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x107554536, State: ready, Priority: 0xF, PC: 0x3915
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x7203
 -> PID: 0x1358796011, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1771024152, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1507977295, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x9825
 -> PID: 0x621301815, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1478446501, State: ready, Priority: 0xF, PC: 0x3033
 -> PID: 0x889119397, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1882410547, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: ready, Priority: 0xF, PC: 0x3210
 -> PID: 0x1536830211, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1517273377, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x7029
 -> PID: 0x1908194298, State: ready, Priority: 0xF, PC: 0x3868
 -> PID: 0x657821123, State: ready, Priority: 0xF, PC: 0x3776
 -> PID: 0x1049997439, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1464689331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x7183
 -> PID: 0x1911300560, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x298918984, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1816731566, State: ready, Priority: 0xF, PC: 0x3789
 -> PID: 0x957828015, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1105222769, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x13590
 -> PID: 0x892053144, State: ready, Priority: 0xF, PC: 0x3506
 -> PID: 0x454233502, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x7005
 -> PID: 0x1323602331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1887638, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1561939997, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x382955828, State: ready, Priority: 0xF, PC: 0x3849
 -> PID: 0x1461495731, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: ready, Priority: 0xF, PC: 0x3014
 -> PID: 0x1779636775, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x175530180, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351995223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x458588260, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x6942
 -> PID: 0x2034837525, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1070477904, State: ready, Priority: 0xF, PC: 0x3256
 -> PID: 0x609960597, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1683337704, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1606946231, State: ready, Priority: 0xF, PC: 0x3150
 -> PID: 0x24301412, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2111482797, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1760348381, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x9912
 -> PID: 0x379847699, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x338725129, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x552265483, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1617819336, State: ready, Priority: 0xF, PC: 0x6905
 -> PID: 0x1363045322, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x456880399, State: ready, Priority: 0xF, PC: 0x3176
 -> PID: 0x1616927224, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x280090412, State: ready, Priority: 0xF, PC: 0x3366

Returned to ready queue: PID: 0x1400285365, State: running, Priority: 0xF, PC: 0x0

Head: PID: 0x1463179852, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x10703
 -> PID: 0x590357944, State: ready, Priority: 0xF, PC: 0x3712
 -> PID: 0x1815859901, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: ready, Priority: 0xF, PC: 0x3831
 -> PID: 0x318153057, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: ready, Priority: 0xF, PC: 0x3790
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x14466
 -> PID: 0x1083454666, State: ready, Priority: 0xF, PC: 0x3006
 -> PID: 0x2063936098, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: ready, Priority: 0xF, PC: 0x3319
 -> PID: 0x1351345223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1398556760, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x6979
 -> PID: 0x1023129506, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x436476770, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1936329094, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x194847408, State: ready, Priority: 0xF, PC: 0x3844
 -> PID: 0x881140534, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: ready, Priority: 0xF, PC: 0x3394
 -> PID: 0x348318738, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784559590, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: ready, Priority: 0xF, PC: 0x3159
 -> PID: 0x977764947, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x6230
 -> PID: 0x2000755539, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x462242385, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x11632
 -> PID: 0x1848682420, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1086531968, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x107554536, State: ready, Priority: 0xF, PC: 0x3915
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x7203
 -> PID: 0x1358796011, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1771024152, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1507977295, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x9825
 -> PID: 0x621301815, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1478446501, State: ready, Priority: 0xF, PC: 0x3033
 -> PID: 0x889119397, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1882410547, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: ready, Priority: 0xF, PC: 0x3210
 -> PID: 0x1536830211, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1517273377, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x7029
 -> PID: 0x1908194298, State: ready, Priority: 0xF, PC: 0x3868
 -> PID: 0x657821123, State: ready, Priority: 0xF, PC: 0x3776
 -> PID: 0x1049997439, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1464689331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x7183
 -> PID: 0x1911300560, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x298918984, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1816731566, State: ready, Priority: 0xF, PC: 0x3789
 -> PID: 0x957828015, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1105222769, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x13590
 -> PID: 0x892053144, State: ready, Priority: 0xF, PC: 0x3506
 -> PID: 0x454233502, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x7005
 -> PID: 0x1323602331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1887638, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1561939997, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x382955828, State: ready, Priority: 0xF, PC: 0x3849
 -> PID: 0x1461495731, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: ready, Priority: 0xF, PC: 0x3014
 -> PID: 0x1779636775, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x175530180, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351995223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x458588260, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x6942
 -> PID: 0x2034837525, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1070477904, State: ready, Priority: 0xF, PC: 0x3256
 -> PID: 0x609960597, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1683337704, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1606946231, State: ready, Priority: 0xF, PC: 0x3150
 -> PID: 0x24301412, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2111482797, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1760348381, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x9912
 -> PID: 0x379847699, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x338725129, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x552265483, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1617819336, State: ready, Priority: 0xF, PC: 0x6905
 -> PID: 0x1363045322, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x456880399, State: ready, Priority: 0xF, PC: 0x3176
 -> PID: 0x1616927224, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x280090412, State: ready, Priority: 0xF, PC: 0x3366
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x10746
 -> PID: 0x889688008, State: ready, Priority: 0xF, PC: 0x3285
 -> PID: 0x252193898, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1899894091, State: ready, Priority: 0xF, PC: 0x7101
 -> PID: 0x1262696576, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1509658266, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x515204530, State: ready, Priority: 0xF, PC: 0x3711
 -> PID: 0x1847320614, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1195795737, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x678620591, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: ready, Priority: 0xF, PC: 0x7724

Returned to ready queue: PID: 0x357571490, State: running, Priority: 0xF, PC: 0x3831

Head: PID: 0x318153057, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: ready, Priority: 0xF, PC: 0x3790
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x14466
 -> PID: 0x1083454666, State: ready, Priority: 0xF, PC: 0x3006
 -> PID: 0x2063936098, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: ready, Priority: 0xF, PC: 0x3319
 -> PID: 0x1351345223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1398556760, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x6979
 -> PID: 0x1023129506, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x436476770, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1936329094, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x194847408, State: ready, Priority: 0xF, PC: 0x3844
 -> PID: 0x881140534, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: ready, Priority: 0xF, PC: 0x3394
 -> PID: 0x348318738, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784559590, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: ready, Priority: 0xF, PC: 0x3159
 -> PID: 0x977764947, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x6230
 -> PID: 0x2000755539, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x462242385, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x11632
 -> PID: 0x1848682420, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1086531968, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x107554536, State: ready, Priority: 0xF, PC: 0x3915
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x7203
 -> PID: 0x1358796011, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1771024152, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1507977295, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x9825
 -> PID: 0x621301815, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1478446501, State: ready, Priority: 0xF, PC: 0x3033
 -> PID: 0x889119397, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1882410547, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: ready, Priority: 0xF, PC: 0x3210
 -> PID: 0x1536830211, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1517273377, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x7029
 -> PID: 0x1908194298, State: ready, Priority: 0xF, PC: 0x3868
 -> PID: 0x657821123, State: ready, Priority: 0xF, PC: 0x3776
 -> PID: 0x1049997439, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1464689331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x7183
 -> PID: 0x1911300560, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x298918984, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1816731566, State: ready, Priority: 0xF, PC: 0x3789
 -> PID: 0x957828015, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1105222769, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x13590
 -> PID: 0x892053144, State: ready, Priority: 0xF, PC: 0x3506
 -> PID: 0x454233502, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x7005
 -> PID: 0x1323602331, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1887638, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1561939997, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x382955828, State: ready, Priority: 0xF, PC: 0x3849
 -> PID: 0x1461495731, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: ready, Priority: 0xF, PC: 0x3014
 -> PID: 0x1779636775, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x175530180, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351995223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x458588260, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x6942
 -> PID: 0x2034837525, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1070477904, State: ready, Priority: 0xF, PC: 0x3256
 -> PID: 0x609960597, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1683337704, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1606946231, State: ready, Priority: 0xF, PC: 0x3150
 -> PID: 0x24301412, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x2111482797, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1760348381, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x9912
 -> PID: 0x379847699, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x338725129, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x552265483, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1617819336, State: ready, Priority: 0xF, PC: 0x6905
 -> PID: 0x1363045322, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x456880399, State: ready, Priority: 0xF, PC: 0x3176
 -> PID: 0x1616927224, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x280090412, State: ready, Priority: 0xF, PC: 0x3366
